date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:06:51	59/59	---M--	200	added ('OK')	text/plain	etag:%223b-57a50e2ddb95c%22	http://copyprint.ee/robots.txt		(from )
14:06:51	19350/19350	---M--	200	added ('OK')	text/html	etag:%224b96-5c0014e6d84bd%22	http://copyprint.ee/	C:/Users/a_ill/Desktop/copyprint/copyprint.ee/index.html	(from )
14:06:52	5951/5951	---M--	200	added ('OK')	image/png	etag:%22173f-57a511afd35bd%22	http://copyprint.ee/assets/images/jkk-logo-350x350-53.png	C:/Users/a_ill/Desktop/copyprint/copyprint.ee/assets/images/jkk-logo-350x350-53.png	(from http://copyprint.ee/)
14:06:54	154587/154587	---M--	200	added ('OK')	text/css	etag:%2225bdb-57a511b91119a%22	http://copyprint.ee/assets/bootstrap/css/bootstrap.min.css	C:/Users/a_ill/Desktop/copyprint/copyprint.ee/assets/bootstrap/css/bootstrap.min.css	(from http://copyprint.ee/)
14:06:55	56306/56306	---M--	200	added ('OK')	text/css	etag:%22dbf2-57a511aec1eb4%22	http://copyprint.ee/assets/animate.css/animate.min.css	C:/Users/a_ill/Desktop/copyprint/copyprint.ee/assets/animate.css/animate.min.css	(from http://copyprint.ee/)
14:06:56	11539/11539	---M--	200	added ('OK')	text/css	etag:%222d13-57a511bfd6833%22	http://copyprint.ee/assets/socicon/css/socicon.min.css	C:/Users/a_ill/Desktop/copyprint/copyprint.ee/assets/socicon/css/socicon.min.css	(from http://copyprint.ee/)
14:06:56	42008/42008	---M--	200	added ('OK')	text/css	etag:%22a418-57a511be943e9%22	http://copyprint.ee/assets/mobirise/css/style.css	C:/Users/a_ill/Desktop/copyprint/copyprint.ee/assets/mobirise/css/style.css	(from http://copyprint.ee/)
14:06:58	1879/1879	---M--	200	added ('OK')	text/css	etag:%22757-57a511b73ec9b%22	http://copyprint.ee/assets/mobirise-slider/style.css	C:/Users/a_ill/Desktop/copyprint/copyprint.ee/assets/mobirise-slider/style.css	(from http://copyprint.ee/)
14:06:58	3084/3084	---M--	200	added ('OK')	text/css	etag:%22c0c-57a511b6805b5%22	http://copyprint.ee/assets/mobirise-gallery/style.css	C:/Users/a_ill/Desktop/copyprint/copyprint.ee/assets/mobirise-gallery/style.css	(from http://copyprint.ee/)
14:06:58	4526/4526	---M--	200	added ('OK')	text/css	etag:%2211ae-57a511be59a67%22	http://copyprint.ee/assets/mobirise/css/mbr-additional.css	C:/Users/a_ill/Desktop/copyprint/copyprint.ee/assets/mobirise/css/mbr-additional.css	(from http://copyprint.ee/)
